# DEC: -19.5123888888889
# TRANSIENT_ID: 75564
# REDSHIFT_ERR: None
# SPECTRUM_NOTES: None
# OBS_GROUP_ID: 55
# RLAP: None
# OBS_DATE: 2021-05-12 00:00:00+00:00
# UNIT_ID: None
# SPEC_DATA_FILE: None
# RA: 198.256166666667
# SPEC_PHASE: None
# SNID_PLOT_FILE: None
# FOLLOWUP_ID: None
# REDSHIFT_QUALITY: None
# DATA_QUALITY_ID: None
# SPEC_PLOT_FILE: None
# REDSHIFT: None
# INSTRUMENT_ID: 7

wavelength,flux,fluxerr
4485.806,4.91959e-01,8.62399e-03
4486.990,5.05064e-01,8.54705e-03
4488.174,5.12707e-01,8.34279e-03
4489.358,5.13720e-01,8.13130e-03
4491.726,5.19103e-01,7.91708e-03
4495.278,5.26881e-01,7.77746e-03
4497.645,5.48306e-01,8.04106e-03
4501.197,5.39497e-01,8.43871e-03
4502.381,5.18879e-01,8.53729e-03
4503.565,5.29065e-01,8.84228e-03
4507.117,5.35776e-01,8.42605e-03
4508.301,5.44985e-01,8.27387e-03
4509.485,5.58622e-01,8.18237e-03
4510.669,5.55895e-01,8.01639e-03
4514.220,5.41758e-01,7.82804e-03
4517.772,5.64787e-01,8.26295e-03
4522.508,5.58844e-01,9.12285e-03
4527.243,6.03066e-01,8.56850e-03
4535.531,6.60202e-01,8.71670e-03
4536.715,6.60610e-01,8.90684e-03
4539.083,6.78577e-01,9.42495e-03
4540.267,7.09521e-01,9.88982e-03
4543.818,7.05327e-01,9.62795e-03
4546.186,7.29395e-01,9.33277e-03
4547.370,7.57398e-01,9.30623e-03
4548.554,7.40761e-01,9.06592e-03
4550.922,7.46159e-01,9.04775e-03
4553.290,7.52512e-01,9.32071e-03
4554.474,7.63474e-01,9.33056e-03
4558.025,7.81974e-01,1.01317e-02
4559.209,8.01759e-01,1.05114e-02
4561.577,8.10851e-01,1.04202e-02
4563.945,8.44655e-01,1.00887e-02
4566.313,8.56771e-01,9.76230e-03
4567.497,8.70897e-01,9.74651e-03
4569.865,8.94219e-01,9.74851e-03
4571.048,9.12879e-01,9.89787e-03
4572.232,9.14785e-01,1.00079e-02
4574.600,9.48048e-01,1.05239e-02
4576.968,9.81660e-01,1.12703e-02
4579.336,9.96712e-01,1.17298e-02
4580.520,1.02623e+00,1.15521e-02
4581.704,1.02875e+00,1.12514e-02
4585.256,1.08874e+00,1.08585e-02
4588.807,1.15288e+00,1.09755e-02
4592.359,1.16277e+00,1.13945e-02
4594.727,1.19344e+00,1.20786e-02
4595.911,1.19432e+00,1.24216e-02
4598.279,1.24744e+00,1.29317e-02
4600.646,1.27328e+00,1.24772e-02
4601.830,1.25555e+00,1.23170e-02
4603.014,1.28342e+00,1.18489e-02
4604.198,1.31862e+00,1.18266e-02
4605.382,1.33099e+00,1.17365e-02
4606.566,1.33903e+00,1.17328e-02
4608.934,1.35021e+00,1.18858e-02
4610.118,1.35021e+00,1.20992e-02
4612.486,1.35186e+00,1.25068e-02
4614.854,1.36323e+00,1.32277e-02
4618.405,1.39488e+00,1.30485e-02
4619.589,1.39522e+00,1.27055e-02
4621.957,1.39960e+00,1.22233e-02
4623.141,1.41638e+00,1.21279e-02
4624.325,1.41159e+00,1.20412e-02
4625.509,1.37401e+00,1.18086e-02
4627.877,1.39281e+00,1.20102e-02
4631.428,1.41698e+00,1.27984e-02
4634.980,1.43219e+00,1.37452e-02
4640.900,1.48933e+00,1.24845e-02
4644.452,1.49403e+00,1.21998e-02
4645.635,1.52905e+00,1.24716e-02
4649.187,1.53175e+00,1.30024e-02
4650.371,1.56407e+00,1.34467e-02
4651.555,1.55860e+00,1.37628e-02
4652.739,1.56538e+00,1.42361e-02
4656.291,1.56187e+00,1.35061e-02
4657.475,1.60163e+00,1.33363e-02
4662.210,1.60435e+00,1.26347e-02
4663.394,1.62757e+00,1.27277e-02
4670.498,1.65183e+00,1.42233e-02
4671.682,1.65426e+00,1.46130e-02
4672.866,1.68922e+00,1.47075e-02
