dateobs jd mag dmag telescope filter magtype
2021-03-22 2459296.32923 15.0404 0.0316 0m4-07 i 1
2021-03-22 2459296.33072 15.0885 0.0319 0m4-07 i 1
2021-03-22 2459296.39404 14.7233 0.0187 1m0-13 B 1
2021-03-22 2459296.39504 14.7248 0.0170 1m0-13 B 1
2021-03-22 2459296.39621 14.6712 0.0156 1m0-13 V 1
2021-03-22 2459296.39698 14.6849 0.0152 1m0-13 V 1
2021-03-22 2459296.39792 14.5396 0.0136 1m0-13 g 1
2021-03-22 2459296.39893 14.5395 0.0137 1m0-13 g 1
2021-03-22 2459296.40010 14.5382 0.0268 1m0-13 r 1
2021-03-22 2459296.40087 14.5119 0.0288 1m0-13 r 1
2021-03-22 2459296.40180 14.6774 0.0300 1m0-13 i 1
2021-03-22 2459296.40258 14.6234 0.0327 1m0-13 i 1
2021-03-22 2459296.49654 14.5543 0.0464 0m4-10 V 1
2021-03-22 2459296.49810 14.9718 0.0567 0m4-10 V 1
2021-03-23 2459296.50225 16.7876 0.1822 0m4-10 g 1
2021-03-23 2459296.50484 14.9300 0.0438 0m4-10 r 1
2021-03-23 2459296.50640 14.9471 0.0435 0m4-10 r 1
2021-03-23 2459296.50805 14.5761 0.0520 0m4-10 i 1
2021-03-23 2459296.50961 14.7595 0.0572 0m4-10 i 1
2021-03-23 2459296.60760 14.6204 0.0177 1m0-12 B 1
2021-03-23 2459296.60860 14.6394 0.0172 1m0-12 B 1
2021-03-23 2459296.60979 14.5927 0.0192 1m0-12 V 1
2021-03-23 2459296.61054 14.6094 0.0201 1m0-12 V 1
2021-03-23 2459296.61148 14.4889 0.0206 1m0-12 g 1
2021-03-23 2459296.61249 14.6038 0.0262 1m0-12 g 1
2021-03-23 2459296.61369 14.6614 0.0274 1m0-12 r 1
2021-03-23 2459296.61445 14.6735 0.0232 1m0-12 r 1
2021-03-23 2459296.61538 14.8843 0.0257 1m0-12 i 1
2021-03-23 2459296.61614 14.8731 0.0245 1m0-12 i 1
2021-03-23 2459296.68242 14.7684 0.0463 0m4-09 V 1
2021-03-23 2459296.68398 14.8454 0.0453 0m4-09 V 1
2021-03-23 2459296.68563 14.7917 0.0291 0m4-09 g 1
2021-03-23 2459296.68811 14.7596 0.0367 0m4-09 g 1
2021-03-23 2459296.69072 14.7657 0.0352 0m4-09 r 1
2021-03-23 2459296.69227 14.7747 0.0281 0m4-09 r 1
2021-03-23 2459296.69392 14.8869 0.0382 0m4-09 i 1
2021-03-23 2459296.69546 14.8649 0.0328 0m4-09 i 1
2021-03-24 2459297.64201 14.4528 0.0141 1m0-05 B 1
2021-03-24 2459297.64301 14.4575 0.0150 1m0-05 B 1
2021-03-24 2459297.64419 14.4677 0.0153 1m0-05 V 1
2021-03-24 2459297.64484 14.4623 0.0162 1m0-05 V 1
2021-03-24 2459297.64566 14.3377 0.0129 1m0-05 g 1
2021-03-24 2459297.64672 14.3291 0.0129 1m0-05 g 1
2021-03-24 2459297.64794 14.5059 0.0153 1m0-05 r 1
2021-03-24 2459297.64859 14.4887 0.0168 1m0-05 r 1
2021-03-24 2459297.64941 14.7799 0.0191 1m0-05 i 1
2021-03-24 2459297.65006 14.7601 0.0204 1m0-05 i 1
2021-03-24 2459297.69541 14.4464 0.0288 0m4-09 V 1
2021-03-24 2459297.69695 14.5008 0.0294 0m4-09 V 1
2021-03-24 2459297.69861 14.4728 0.0249 0m4-09 g 1
2021-03-24 2459297.70108 14.5084 0.0214 0m4-09 g 1
2021-03-24 2459297.70687 14.6399 0.0345 0m4-09 i 1
2021-03-24 2459297.70843 14.6449 0.0366 0m4-09 i 1
2021-03-25 2459298.70383 14.5904 0.0290 0m4-09 B 1
2021-03-25 2459298.70634 14.5481 0.0350 0m4-09 B 1
2021-03-25 2459298.70893 14.3299 0.0420 0m4-09 V 1
2021-03-25 2459298.71048 14.3023 0.0391 0m4-09 V 1
2021-03-25 2459298.71213 14.3390 0.0309 0m4-09 g 1
2021-03-25 2459298.71460 14.3401 0.0381 0m4-09 g 1
2021-03-25 2459298.71720 14.3226 0.0295 0m4-09 r 1
2021-03-25 2459298.71875 14.3220 0.0270 0m4-09 r 1
2021-03-25 2459298.72040 14.5546 0.0288 0m4-09 i 1
2021-03-25 2459298.72195 14.5010 0.0281 0m4-09 i 1
2021-03-26 2459299.61258 14.1985 0.0163 1m0-05 B 1
2021-03-26 2459299.61359 14.1998 0.0160 1m0-05 B 1
2021-03-26 2459299.61478 14.1978 0.0139 1m0-05 V 1
2021-03-26 2459299.61542 14.1777 0.0153 1m0-05 V 1
2021-03-26 2459299.61625 14.0444 0.0138 1m0-05 g 1
2021-03-26 2459299.61724 14.0481 0.0130 1m0-05 g 1
2021-03-26 2459299.61842 14.2852 0.0175 1m0-05 r 1
2021-03-26 2459299.61910 14.2396 0.0175 1m0-05 r 1
2021-03-26 2459299.61991 14.5775 0.0206 1m0-05 i 1
2021-03-26 2459299.62056 14.5658 0.0212 1m0-05 i 1
2021-03-26 2459299.80507 14.2666 0.0357 0m4-11 V 1
2021-03-26 2459299.80656 14.1976 0.0367 0m4-11 V 1
2021-03-26 2459299.80815 14.2517 0.0325 0m4-11 g 1
2021-03-26 2459299.81057 14.4305 0.0368 0m4-11 g 1
2021-03-26 2459299.81311 14.1874 0.0391 0m4-11 r 1
2021-03-26 2459299.81461 14.1860 0.0402 0m4-11 r 1
2021-03-26 2459299.81620 14.4642 0.0477 0m4-11 i 1
2021-03-26 2459299.81769 14.4708 0.0501 0m4-11 i 1
2021-03-27 2459300.81352 14.0842 0.0291 0m4-11 V 1
2021-03-27 2459300.81502 14.0895 0.0272 0m4-11 V 1
2021-03-27 2459300.81661 14.0582 0.0247 0m4-11 g 1
2021-03-27 2459300.81902 14.0586 0.0233 0m4-11 g 1
2021-03-27 2459300.82155 14.3428 0.0396 0m4-11 r 1
