dateobs jd mag dmag telescope filter magtype
2021-04-08 2459312.76936 14.0074 0.0278 1m0-04 V 1
2021-04-08 2459312.76999 14.0034 0.0273 1m0-04 V 1
2021-04-08 2459312.77082 14.1218 0.0144 1m0-04 g 1
2021-04-08 2459312.77181 14.1180 0.0140 1m0-04 g 1
2021-04-08 2459312.77298 14.1287 0.0165 1m0-04 r 1
2021-04-08 2459312.77363 14.1471 0.0172 1m0-04 r 1
2021-04-08 2459312.77444 14.7948 0.0224 1m0-04 i 1
2021-04-09 2459313.99328 14.2233 0.0368 1m0-03 U 1
2021-04-09 2459313.99616 14.3574 0.0234 1m0-03 B 1
2021-04-09 2459313.99716 14.3958 0.0270 1m0-03 B 1
2021-04-09 2459313.99833 14.0420 0.0271 1m0-03 V 1
2021-04-09 2459313.99897 14.0509 0.0292 1m0-03 V 1
2021-04-09 2459314.00080 14.1243 0.0202 1m0-03 g 1
2021-04-09 2459314.00198 14.2270 0.0257 1m0-03 r 1
2021-04-09 2459314.00264 14.2085 0.0223 1m0-03 r 1
2021-04-09 2459314.00345 14.8537 0.0268 1m0-03 i 1
2021-04-09 2459314.00411 14.8558 0.0267 1m0-03 i 1
2021-04-12 2459317.30583 14.5965 0.0500 1m0-13 U 1
2021-04-12 2459317.30718 14.5831 0.0483 1m0-13 U 1
2021-04-12 2459317.30874 14.5828 0.0411 1m0-13 B 1
2021-04-12 2459317.31091 14.1824 0.0417 1m0-13 V 1
2021-04-12 2459317.31156 14.1871 0.0418 1m0-13 V 1
2021-04-12 2459317.31237 14.2720 0.0345 1m0-13 g 1
2021-04-12 2459317.31338 14.2787 0.0449 1m0-13 g 1
2021-04-12 2459317.31601 15.3184 0.0613 1m0-13 i 1
2021-04-18 2459322.62878 15.4322 0.0445 1m0-04 U 1
2021-04-18 2459322.63012 15.4213 0.0494 1m0-04 U 1
2021-04-18 2459322.63163 15.2631 0.0269 1m0-04 B 1
2021-04-18 2459322.63264 15.2684 0.0271 1m0-04 B 1
2021-04-18 2459322.63381 14.5711 0.0289 1m0-04 V 1
2021-04-18 2459322.63445 14.5835 0.0278 1m0-04 V 1
2021-04-18 2459322.63528 14.8423 0.0180 1m0-04 g 1
2021-04-18 2459322.63628 14.8329 0.0193 1m0-04 g 1
2021-04-18 2459322.63811 14.7365 0.0205 1m0-04 r 1
2021-04-18 2459322.63893 15.1871 0.0197 1m0-04 i 1
2021-04-22 2459326.71477 15.7381 0.0279 1m0-04 B 1
2021-04-22 2459326.71577 15.7359 0.0272 1m0-04 B 1
2021-04-22 2459326.71695 14.7752 0.0298 1m0-04 V 1
2021-04-22 2459326.71760 14.7334 0.0256 1m0-04 V 1
2021-04-22 2459326.71843 15.2529 0.0156 1m0-04 g 1
2021-04-22 2459326.71943 15.2314 0.0136 1m0-04 g 1
2021-04-22 2459326.72060 14.8082 0.0178 1m0-04 r 1
2021-04-22 2459326.72207 15.1268 0.0219 1m0-04 i 1
2021-04-22 2459326.72276 15.1164 0.0251 1m0-04 i 1
2021-04-28 2459332.66908 16.2767 0.0306 1m0-04 B 1
2021-04-28 2459332.67008 16.2582 0.0308 1m0-04 B 1
2021-04-28 2459332.67125 15.0837 0.0273 1m0-04 V 1
2021-04-28 2459332.67271 15.8060 0.0178 1m0-04 g 1
2021-04-28 2459332.67372 15.7919 0.0190 1m0-04 g 1
2021-04-28 2459332.67489 14.9210 0.0193 1m0-04 r 1
2021-04-28 2459332.67554 14.9450 0.0200 1m0-04 r 1
2021-04-28 2459332.67636 14.9870 0.0226 1m0-04 i 1
2021-04-28 2459332.67701 15.0016 0.0222 1m0-04 i 1
2021-05-03 2459337.98831 16.8989 0.0426 1m0-11 U 1
2021-05-03 2459337.99000 16.9658 0.0528 1m0-11 U 1
2021-05-03 2459337.99188 16.6953 0.0256 1m0-11 B 1
2021-05-03 2459337.99323 16.6891 0.0233 1m0-11 B 1
2021-05-03 2459337.99475 15.4389 0.0268 1m0-11 V 1
2021-05-03 2459337.99576 15.5137 0.0271 1m0-11 V 1
2021-05-03 2459337.99694 16.2549 0.0154 1m0-11 g 1
2021-05-03 2459337.99830 16.2669 0.0135 1m0-11 g 1
2021-05-03 2459337.99982 15.3383 0.0205 1m0-11 r 1
2021-05-03 2459338.00083 15.3189 0.0213 1m0-11 r 1
2021-05-03 2459338.00202 15.3226 0.0207 1m0-11 i 1
2021-05-03 2459338.00302 15.2839 0.0196 1m0-11 i 1
2021-05-08 2459342.64391 17.1168 0.0686 1m0-04 U 1
2021-05-08 2459342.64576 16.9190 0.0253 1m0-04 B 1
2021-05-08 2459342.64710 16.9346 0.0255 1m0-04 B 1
2021-05-08 2459342.64863 15.7203 0.0252 1m0-04 V 1
2021-05-08 2459342.64964 15.7597 0.0264 1m0-04 V 1
2021-05-08 2459342.65080 16.4515 0.0246 1m0-04 g 1
2021-05-08 2459342.65215 16.4848 0.0146 1m0-04 g 1
2021-05-08 2459342.65368 15.5776 0.0199 1m0-04 r 1
2021-05-08 2459342.65468 15.5857 0.0178 1m0-04 r 1
2021-05-08 2459342.65586 15.6253 0.0198 1m0-04 i 1
2021-05-08 2459342.65686 15.6181 0.0193 1m0-04 i 1
